date,district,latitude,longitude,precip,pressure,humidity_2m,rh_2m,temp_2m,wetbulbtemp_2m,maxtemp_2m,mintemp_2m,temprange_2m,earthskintemp,windspeed_10m,maxwindspeed_10m,minwindspeed_10m,windspeedrange_10m,windspeed_50m,maxwindspeed_50m,minwindspeed_50m,windspeedrange_50m,year,month,day,season
1993-12-04,Arghakhanchi,27.9,83.2,0.0,93.66,3.14,25.49,16.29,-3.54,24.43,10.37,14.07,13.07,1.99,3.31,0.57,2.74,2.58,4.06,0.77,3.28,1993,12,4,Winter
1995-05-02,Arghakhanchi,27.9,83.2,0.0,92.82,4.63,14.9,31.49,1.54,40.26,22.8,17.45,32.29,5.51,9.47,2.59,6.88,7.7,11.1,4.01,7.09,1995,5,2,Spring
1986-09-17,Arghakhanchi,27.9,83.2,0.03,93.13,12.93,59.2,25.4,16.7,31.99,20.26,11.73,25.5,2.19,3.79,0.14,3.64,3.04,4.28,0.36,3.92,1986,9,17,Autumn
2006-05-17,Arghakhanchi,27.9,83.2,0.11,93.17,11.44,40.53,29.81,14.9,36.07,23.79,12.28,31.64,2.47,3.77,1.24,2.53,3.09,3.89,1.4,2.49,2006,5,17,Spring
1995-09-14,Arghakhanchi,27.9,83.2,0.26,93.02,16.45,74.28,25.58,20.58,30.09,22.15,7.94,26.04,1.78,3.33,0.24,3.09,2.37,3.69,0.22,3.47,1995,9,14,Autumn
1990-10-11,Arghakhanchi,27.9,83.2,0.0,93.61,12.52,66.88,22.91,16.31,27.95,18.8,9.16,22.33,1.71,3.22,0.44,2.77,2.21,3.52,0.66,2.85,1990,10,11,Autumn
1993-06-23,Arghakhanchi,27.9,83.2,0.72,92.58,13.34,41.46,31.98,17.11,37.93,25.89,12.04,33.97,2.41,3.76,0.49,3.27,2.86,4.62,0.57,4.05,1993,6,23,Monsoon
2000-05-02,Arghakhanchi,27.9,83.2,0.0,92.8,2.43,8.54,29.99,-6.35,38.6,21.76,16.84,30.55,2.89,4.56,1.15,3.41,3.62,5.04,1.62,3.42,2000,5,2,Spring
2016-07-28,Arghakhanchi,27.9,83.2,22.1,92.89,19.28,93.57,24.31,23.11,26.44,22.63,3.81,24.47,2.26,3.42,1.18,2.24,3.19,4.7,2.19,2.51,2016,7,28,Monsoon
2015-05-12,Arghakhanchi,27.9,83.2,3.07,93.03,10.88,43.08,27.87,14.0,34.43,21.77,12.66,28.53,2.96,4.78,0.98,3.8,3.92,5.17,1.0,4.17,2015,5,12,Spring
1993-12-04,Baglung,28.3,83.6,0.0,79.56,2.08,21.55,10.03,-10.54,17.23,4.68,12.54,5.24,1.77,4.01,0.15,3.86,1.66,3.21,0.05,3.16,1993,12,4,Winter
1995-05-02,Baglung,28.3,83.6,0.0,79.23,3.54,18.74,20.4,-4.22,28.66,12.85,15.81,21.29,4.01,8.24,1.3,6.94,4.61,8.48,1.49,6.99,1995,5,2,Spring
1986-09-17,Baglung,28.3,83.6,0.02,79.39,10.02,65.06,17.12,9.64,22.89,12.94,9.95,16.93,2.15,5.05,0.17,4.88,1.98,4.06,0.25,3.81,1986,9,17,Autumn
2006-05-17,Baglung,28.3,83.6,0.62,79.52,9.94,55.17,19.65,9.98,25.75,14.76,10.99,21.1,2.53,5.29,0.45,4.85,2.29,4.31,0.44,3.88,2006,5,17,Spring
1995-09-14,Baglung,28.3,83.6,0.43,79.31,13.14,83.76,17.37,14.08,21.46,14.32,7.14,18.0,1.86,4.03,0.28,3.75,1.85,3.3,0.41,2.89,1995,9,14,Autumn
