DNM,DCD,DISTRICT_CODE,DISTRICT_NAME,VG_P_200304,VG_P_200405,VG_P_200506,VG_P_200607,VG_P_200708,VG_P_200809,VG_P_200910,VG_P_201011,VG_P_201112,VG_P_201213,VG_P_201314,VG_A_200304,VG_A_200405,VG_A_200506,VG_A_200607,VG_A_200708,VG_A_200809,VG_A_200910,VG_A_201011,VG_A_201112,VG_A_201213,VG_A_201314,VG_Y_200304,VG_Y_200405,VG_Y_200506,VG_Y_200607,VG_Y_200708,VG_Y_200809,VG_Y_200910,VG_Y_201011,VG_Y_201112,VG_Y_201213,VG_Y_201314
Achham,69,68,Achham,3730,2550.0,2704,8030,8635,6755.85,9450.0,13896.62,7238.1,3657.0,3801.01,393,340,357,568,576,579.0,721.0,1085.0,467.0,466.0,457.5,9.491094147582697,7.5,7.57422969187675,14.137323943661972,14.991319444444445,11.668134715025907,13.106796116504855,12.80794470046083,15.49914346895075,7.847639484978541,8.308218579234973
Arghakhanchi,51,46,Arghakhanchi,11517,11549.0,12248,17869,18070,12525.1,19018.0,19187.0,19356.0,19801.6,21332.7,1155,1221,1282,1462,1667,1471.0,1500.0,23205.68,1518.0,1521.0,1637.5,9.971428571428572,9.458640458640458,9.553822152886115,12.222298221614228,10.83983203359328,8.514683888511216,12.678666666666667,0.8268234328836733,12.75098814229249,13.018803418803417,13.027603053435115
Baglung,45,51,Baglung,17297,19236.0,20399,21398,22440,24504.0,11308.65,6612.0,19640.0,18760.0,19867.5,1587,1551,1628,1675,1723,2099.0,866.5,956.8,1717.0,1642.0,1733.0,10.899180844360428,12.402321083172147,12.53009828009828,12.774925373134328,13.023795705165409,11.674130538351596,13.050952106174265,6.910535117056856,11.438555620267909,11.425091352009744,11.464223889209464
Baitadi,74,73,Baitadi,6725,5354.0,5677,8745,8850,10383.75,11459.55,8206.95,8202.0,13421.0,14295.46,785,523,549,835,870,1187.0,1265.0,1134.5,881.0,1064.0,1169.0,8.566878980891719,10.237093690248566,10.340619307832423,10.47305389221557,10.172413793103448,8.747893850042123,9.05893280632411,7.2339797267518735,9.309875141884222,12.613721804511279,12.228793840889649
Bajhang,68,69,Bajhang,5652,3007.0,3188,6092,9904,3342.0,3922.0,13074.5,6459.0,5133.48,8416.7,628,417,437,660,1058,724.0,811.0,1049.8,873.0,691.7,991.1,9.0,7.211031175059952,7.295194508009153,9.23030303030303,9.361058601134216,4.616022099447513,4.836004932182491,12.454277005143837,7.398625429553265,7.421541130547924,8.49228130360206
Bajura,67,67,Bajura,1279,2500.0,2651,2762,2878,4941.6,4959.6,4067.5,5002.29,4799.45,5836.56,179,350,367,384,402,537.0,539.0,845.0,567.5,543.0,614.0,7.145251396648045,7.142857142857143,7.223433242506812,7.192708333333333,7.159203980099503,9.202234636871509,9.201484230055659,4.813609467455621,8.814607929515418,8.838766114180478,9.505798045602607
Banke,57,65,Banke,52364,48665.0,51610,70346,73037,70939.0,69445.5,79592.7,95557.15,83356.607,65247.307,4750,4708,4943,6691,6193,6492.0,6550.0,4209.0,6638.0,6656.26,5554.55,11.024,10.336661002548853,10.441027715961967,10.513525631445225,11.79347650573228,10.927141096734442,10.60236641221374,18.910121168923734,14.395473034046399,12.52303951468242,11.746641402093779
Bara,33,32,Bara,105605,125605.7,133204,138799,148013,145862.5,171862.5,202247.75,232633.0,237125.0,226050.0,8837,9790,10279,10742,10554,10795.8,11234.5,3050.0,11989.0,12253.0,12520.0,11.950322507638338,12.83,12.958848136978306,12.921150623719978,14.024350956983135,13.511041330887938,15.297743557790733,66.31073770491803,19.403870214363167,19.352403493022116,18.05511182108626
Bardiya,58,66,Bardiya,37582,36525.0,38734,45481,53400,31249.7,75010.2,78524.1,82038.0,76510.0,77250.0,3095,3000,3150,3360,3584,3775.0,3792.0,14263.5,4380.0,4630.0,4715.0,12.14281098546042,12.175,12.296507936507936,13.536011904761905,14.899553571428571,8.278066225165563,19.781170886075948,5.505247660111474,18.73013698630137,16.524838012958963,16.38388123011665
Bhaktapur,26,25,Bhaktapur,53300,57000.0,60448,62987,65633,55814.0,61825.0,65947.81,53452.15,57004.3,58910.5,4281,4150,4357,4553,4758,3592.0,3502.0,3906.4,2860.4,3221.0,3243.0,12.450362064938098,13.734939759036145,13.87376635299518,13.834175269053372,13.794241277847835,15.538418708240535,17.654197601370644,16.881991091542083,18.68694937770941,17.697702576839493,18.165433240826395
