date,year,month,district,lat,lon,t2m,prectot
1981-01-31,1981,1,Arghakhanchi,27.9,83.2,13.03,67.31
1981-02-28,1981,2,Arghakhanchi,27.9,83.2,16.67,3.37
1981-03-31,1981,3,Arghakhanchi,27.9,83.2,20.83,26.02
1981-04-30,1981,4,Arghakhanchi,27.9,83.2,25.5,46.15
1981-05-31,1981,5,Arghakhanchi,27.9,83.2,28.89,69.45
1981-06-30,1981,6,Arghakhanchi,27.9,83.2,30.23,110.77
1981-07-31,1981,7,Arghakhanchi,27.9,83.2,26.08,620.05
1981-08-31,1981,8,Arghakhanchi,27.9,83.2,25.33,309.99
1981-09-30,1981,9,Arghakhanchi,27.9,83.2,23.99,184.98
1981-10-31,1981,10,Arghakhanchi,27.9,83.2,21.12,11.72
1981-11-30,1981,11,Arghakhanchi,27.9,83.2,17.43,36.66
1981-12-31,1981,12,Arghakhanchi,27.9,83.2,14.05,1.37
1982-01-31,1982,1,Arghakhanchi,27.9,83.2,14.36,57.76
1982-02-28,1982,2,Arghakhanchi,27.9,83.2,14.74,22.8
1982-03-31,1982,3,Arghakhanchi,27.9,83.2,19.53,36.3
1982-04-30,1982,4,Arghakhanchi,27.9,83.2,25.72,32.8
1982-05-31,1982,5,Arghakhanchi,27.9,83.2,29.07,19.03
1982-06-30,1982,6,Arghakhanchi,27.9,83.2,29.99,138.72
1982-07-31,1982,7,Arghakhanchi,27.9,83.2,28.54,343.76
1982-08-31,1982,8,Arghakhanchi,27.9,83.2,26.12,150.33
1982-09-30,1982,9,Arghakhanchi,27.9,83.2,24.35,178.89
1982-10-31,1982,10,Arghakhanchi,27.9,83.2,22.47,2.55
1982-11-30,1982,11,Arghakhanchi,27.9,83.2,17.89,12.51
1982-12-31,1982,12,Arghakhanchi,27.9,83.2,14.44,7.29
1983-01-31,1983,1,Arghakhanchi,27.9,83.2,12.87,4.66
1983-02-28,1983,2,Arghakhanchi,27.9,83.2,15.47,1.89
1983-03-31,1983,3,Arghakhanchi,27.9,83.2,21.67,5.48
1983-04-30,1983,4,Arghakhanchi,27.9,83.2,25.07,18.68
1983-05-31,1983,5,Arghakhanchi,27.9,83.2,29.31,40.74
1983-06-30,1983,6,Arghakhanchi,27.9,83.2,31.08,90.84
1983-07-31,1983,7,Arghakhanchi,27.9,83.2,29.34,160.8
1983-08-31,1983,8,Arghakhanchi,27.9,83.2,27.29,131.82
1983-09-30,1983,9,Arghakhanchi,27.9,83.2,25.57,144.03
1983-10-31,1983,10,Arghakhanchi,27.9,83.2,22.46,120.55
1983-11-30,1983,11,Arghakhanchi,27.9,83.2,18.26,0.0
1983-12-31,1983,12,Arghakhanchi,27.9,83.2,14.41,12.16
1984-01-31,1984,1,Arghakhanchi,27.9,83.2,13.15,5.24
1984-02-29,1984,2,Arghakhanchi,27.9,83.2,15.5,25.26
1984-03-31,1984,3,Arghakhanchi,27.9,83.2,22.83,2.07
1984-04-30,1984,4,Arghakhanchi,27.9,83.2,28.0,3.09
1984-05-31,1984,5,Arghakhanchi,27.9,83.2,30.66,16.02
1984-06-30,1984,6,Arghakhanchi,27.9,83.2,28.99,172.16
1984-07-31,1984,7,Arghakhanchi,27.9,83.2,26.25,286.21
1984-08-31,1984,8,Arghakhanchi,27.9,83.2,26.45,210.33
1984-09-30,1984,9,Arghakhanchi,27.9,83.2,23.4,249.44
1984-10-31,1984,10,Arghakhanchi,27.9,83.2,22.35,25.6
