date,district,latitude,longitude,precip,pressure,humidity_2m,rh_2m,temp_2m,wetbulbtemp_2m,maxtemp_2m,mintemp_2m,temprange_2m,earthskintemp,windspeed_10m,maxwindspeed_10m,minwindspeed_10m,windspeedrange_10m,windspeed_50m,maxwindspeed_50m,minwindspeed_50m,windspeedrange_50m,year,month,day,season,heat_stress_index,drought_index,is_monsoon,is_winter,temp_2m_lag1,precip_lag1,wetbulb_diff,avg_windspeed,max_avg_windspeed,temp_2m_scaled,precip_scaled,humidity_2m_scaled,windspeed_10m_scaled,windspeed_50m_scaled,earthskintemp_scaled,heat_stress_index_scaled,drought_index_scaled
1995-05-02,Arghakhanchi,27.9,83.2,0.0,92.82,4.63,14.9,31.49,1.54,40.26,22.8,17.45,32.29,5.51,9.47,2.59,6.88,7.7,11.1,4.01,7.09,1995,5,2,Spring,31.953,1.8938612933458292,0,0,16.29,0.0,29.95,6.605,10.285,0.8938612933458292,0.0,0.20020070245860513,0.9999999999999999,1.0000000000000002,0.8724916387959866,0.8875713759440045,0.9222796747874934
1986-09-17,Arghakhanchi,27.9,83.2,0.03,93.13,12.93,59.2,25.4,16.7,31.99,20.26,11.73,25.5,2.19,3.79,0.14,3.64,3.04,4.28,0.36,3.92,1986,9,17,Autumn,26.692999999999998,1.7498140428401192,1,0,31.49,0.0,8.7,2.615,4.035,0.7511715089034676,0.0013574660633484162,0.6166583040642248,0.22065727699530513,0.2684458398744113,0.7305602006688963,0.7664625161171486,0.808558916351137
2006-05-17,Arghakhanchi,27.9,83.2,0.11,93.17,11.44,40.53,29.81,14.9,36.07,23.79,12.28,31.64,2.47,3.77,1.24,2.53,3.09,3.89,1.4,2.49,2006,5,17,Spring,30.953999999999997,1.8495212186237049,0,0,25.4,0.03,14.909999999999998,2.7800000000000002,3.83,0.8544985941893157,0.004977375565610859,0.5418966382338184,0.2863849765258216,0.2762951334379905,0.8589046822742475,0.8645699023761282,0.8872745850768445
1995-09-14,Arghakhanchi,27.9,83.2,0.26,93.02,16.45,74.28,25.58,20.58,30.09,22.15,7.94,26.04,1.78,3.33,0.24,3.09,2.37,3.69,0.22,3.47,1995,9,14,Autumn,27.224999999999998,1.743624235073598,1,0,29.81,0.11,5.0,2.075,3.51,0.7553889409559511,0.011764705882352941,0.7932764676367285,0.12441314553990612,0.16326530612244897,0.7418478260869565,0.7787115490882299,0.8036722584571973
1990-10-11,Arghakhanchi,27.9,83.2,0.0,93.61,12.52,66.88,22.91,16.31,27.95,18.8,9.16,22.33,1.71,3.22,0.44,2.77,2.21,3.52,0.66,2.85,1990,10,11,Autumn,24.162,1.692830365510778,0,0,25.58,0.26,6.600000000000001,1.96,3.37,0.6928303655107779,0.0,0.5960863020572003,0.107981220657277,0.13814756671899528,0.6642976588628762,0.7081875115122491,0.7635721013884423
1993-06-23,Arghakhanchi,27.9,83.2,0.72,92.58,13.34,41.46,31.98,17.11,37.93,25.89,12.04,33.97,2.41,3.76,0.49,3.27,2.86,4.62,0.57,4.05,1993,6,23,Monsoon,33.314,1.8727628950794504,1,0,22.91,0.0,14.870000000000001,2.635,4.1899999999999995,0.9053420805998125,0.032579185520361986,0.6372303060712494,0.2723004694835681,0.2401883830455259,0.9076086956521738,0.9189077178117517,0.9056231551786739
2000-05-02,Arghakhanchi,27.9,83.2,0.0,92.8,2.43,8.54,29.99,-6.35,38.6,21.76,16.84,30.55,2.89,4.56,1.15,3.41,3.62,5.04,1.62,3.42,2000,5,2,Spring,30.232999999999997,1.8587160262417992,0,0,31.98,0.72,36.339999999999996,3.255,4.8,0.8587160262417992,0.0,0.08981435022579028,0.38497652582159625,0.35949764521193095,0.8361204013377926,0.8479692392705838,0.894533595521925
2016-07-28,Arghakhanchi,27.9,83.2,22.1,92.89,19.28,93.57,24.31,23.11,26.44,22.63,3.81,24.47,2.26,3.42,1.18,2.24,3.19,4.7,2.19,2.51,2016,7,28,Monsoon,26.238,0.7256326148078724,1,0,29.99,0.0,1.1999999999999993,2.7249999999999996,4.0600000000000005,0.7256326148078724,1.0,0.9352734570998495,0.23708920187793425,0.29199372056514905,0.7090301003344481,0.7559863694971449,0.0
2015-05-12,Arghakhanchi,27.9,83.2,3.07,93.03,10.88,43.08,27.87,14.0,34.43,21.77,12.66,28.53,2.96,4.78,0.98,3.8,3.92,5.17,1.0,4.17,2015,5,12,Spring,28.958000000000002,1.670130021585449,0,0,24.31,22.1,13.870000000000001,3.44,4.975,0.8090440487347703,0.13891402714932125,0.5137982940291019,0.4014084507042254,0.4065934065934066,0.7938963210702341,0.8186130042365076,0.7456508962360248
1993-12-04,Baglung,28.3,83.6,0.0,79.56,2.08,21.55,10.03,-10.54,17.23,4.68,12.54,5.24,1.77,4.01,0.15,3.86,1.66,3.21,0.05,3.16,1993,12,4,Winter,10.238,1.391049671977507,0,1,27.87,3.07,20.57,1.7149999999999999,3.61,0.39104967197750695,0.0,0.07225288509784246,0.1220657276995305,0.05180533751962321,0.3070652173913043,0.3875944004420704,0.525325767428095
1995-05-02,Baglung,28.3,83.6,0.0,79.23,3.54,18.74,20.4,-4.22,28.66,12.85,15.81,21.29,4.01,8.24,1.3,6.94,4.61,8.48,1.49,6.99,1995,5,2,Spring,20.753999999999998,1.634020618556701,0,0,10.03,0.0,24.619999999999997,4.3100000000000005,8.36,0.634020618556701,0.0,0.1455092824887105,0.6478873239436619,0.5149136577708007,0.6425585284280937,0.6297200221035182,0.7171436620840578
1986-09-17,Baglung,28.3,83.6,0.02,79.39,10.02,65.06,17.12,9.64,22.89,12.94,9.95,16.93,2.15,5.05,0.17,4.88,1.98,4.06,0.25,3.81,1986,9,17,Autumn,18.122,1.5562646571136565,1,0,20.4,0.0,7.48,2.065,4.555,0.5571696344892221,0.0009049773755656109,0.47064726542900154,0.21126760563380276,0.10204081632653059,0.5514214046822743,0.5691195431939584,0.6557577843445824
2006-05-17,Baglung,28.3,83.6,0.62,79.52,9.94,55.17,19.65,9.98,25.75,14.76,10.99,21.1,2.53,5.29,0.45,4.85,2.29,4.31,0.44,3.88,2006,5,17,Spring,20.644,1.588393686362152,0,0,17.12,0.02,9.669999999999998,2.41,4.8,0.616447985004686,0.028054298642533934,0.46663321625689913,0.300469483568075,0.15070643642072215,0.6385869565217391,0.6271873273162645,0.681122639009531
1995-09-14,Baglung,28.3,83.6,0.43,79.31,13.14,83.76,17.37,14.08,21.46,14.32,7.14,18.0,1.86,4.03,0.28,3.75,1.85,3.3,0.41,2.89,1995,9,14,Autumn,18.684,1.5435701654318996,1,0,19.65,0.62,3.290000000000001,1.855,3.665,0.5630271790065604,0.019457013574660634,0.6271951831409937,0.1431924882629108,0.0816326530612245,0.5737876254180602,0.5820593111070179,0.645735883774143
1990-10-11,Baglung,28.3,83.6,0.0,79.7,10.22,79.33,14.39,9.94,18.69,11.68,7.02,14.36,1.78,4.07,0.24,3.82,1.71,3.4,0.32,3.08,1990,10,11,Autumn,15.412,1.4932052483598874,0,0,17.37,0.43,4.450000000000001,1.745,3.7350000000000003,0.4932052483598875,0.0,0.4806823883592574,0.12441314553990612,0.059654631083202486,0.49770066889632103,0.5067231534352552,0.6059743711600137
1993-06-23,Baglung,28.3,83.6,0.27,79.11,11.42,54.98,21.86,12.02,27.36,16.27,11.09,24.0,2.61,5.07,0.27,4.81,2.2,3.99,0.22,3.77,1993,6,23,Monsoon,23.002,1.656011483967821,1,0,14.39,0.0,9.84,2.4050000000000002,4.53,0.6682286785379568,0.012217194570135747,0.5408931259407928,0.31924882629107976,0.13657770800627947,0.6992056856187291,0.6814790937557562,0.734504756339205
2000-05-02,Baglung,28.3,83.6,0.0,79.26,2.43,13.72,19.37,-8.49,27.23,11.94,15.28,20.04,2.98,5.9,0.81,5.09,2.87,4.93,1.02,3.91,2000,5,2,Spring,19.613,1.609887535145267,0,0,21.86,0.27,27.86,2.925,5.415,0.6098875351452671,0.0,0.08981435022579028,0.4061032863849765,0.24175824175824176,0.6164297658862876,0.6034490698102781,0.6980913543217008
2016-07-28,Baglung,28.3,83.6,13.55,79.21,15.23,97.54,17.25,16.42,19.17,15.82,3.35,17.44,2.41,4.45,1.14,3.31,2.74,4.01,1.94,2.07,2016,7,28,Monsoon,18.773,0.9470933856925365,1,0,19.37,0.0,0.8299999999999983,2.575,4.23,0.5602155576382379,0.6131221719457014,0.7320622177621676,0.2723004694835681,0.22135007849293567,0.5620819397993311,0.5841084914348867,0.17483628976247512
